pr_number,title,pr_modules,model,algorithm,section,decision,user_summary,reason
113,"[omni, rollout, model] feat: Qwen3-Omni Thinker GSPO + LoRA via vLLM-Omni AR rollout","omni,rollout,model",Qwen3-Omni-Thinker,GSPO,"Model & Algorithm Supports",include,"Added Qwen3-Omni Thinker GSPO + LoRA with vLLM-Omni async rollout","Major omni-modality recipe"
168,"[algo] feat: add FlowDPPO support for Qwen-Image Training",algo,Qwen-Image,Flow-DPPO,"Model & Algorithm Supports",include,"Added Flow-DPPO support for Qwen-Image","New algorithm x model path"
106,"[2/N][algo] feat: add DiffusionNFT support for Qwen-Image Training",algo,Qwen-Image,DiffusionNFT,"Model & Algorithm Supports",merge-into-summary,"Added DiffusionNFT support for Qwen-Image","Merged with runnable recipe and NPU coverage"
164,"[recipe,doc] feat: add diffusionnft for Qwen-Image with npu backend","recipe,doc",Qwen-Image,DiffusionNFT,"Model & Algorithm Supports",include,"Added runnable Qwen-Image DiffusionNFT recipe with NPU coverage","Verified recipe plus hardware-facing script"
139,"[diffusion, trainer] feat: online Qwen-Image DPO","diffusion,trainer",Qwen-Image,DPO,"Model & Algorithm Supports",include,"Added online DPO training for Qwen-Image","New direct-preference diffusion workflow"
95,"[diffusion, trainer, data] feat: add offline DPO training for SD3","diffusion,trainer,data",SD3/SD3.5,DPO,"Model & Algorithm Supports",merge-into-summary,"Added offline DPO training flow for SD3-family models","Merged with SD3.5 verification"
127,"[recipe, doc] feat:Add verification for SD35 DPO training on NPU","recipe,doc",SD3.5,DPO,"Model & Algorithm Supports",include,"Verified SD3.5 offline DPO training with NPU documentation","Verified direct-preference recipe"
178,"[trainer, diffusion] feat: add sd3.5 support for flowgrpo training","trainer,diffusion",SD3.5,FlowGRPO,"Model & Algorithm Supports",include,"Added SD3.5 FlowGRPO support","Expands diffusion generator coverage"
98,"[diffusion, model, reward] feat: support Wan22 DanceGRPO text-to-video training","diffusion,model,reward",Wan2.2,DanceGRPO,"Model & Algorithm Supports",include,"Added Wan2.2 DanceGRPO text-to-video training","New video generation RL recipe"
142,"[data, doc, model] fix: Supplement the wan22 example dataset","data,doc,model",Wan2.2,DanceGRPO,"Model & Algorithm Supports",merge-into-summary,"Supplemented Wan2.2 example dataset docs","Supports Wan2.2 recipe readiness"
58,"[algo, trainer, rollout] feat: integrate MixGRPO sliding-window SDE training","algo,trainer,rollout",Qwen-Image,MixGRPO,"Model & Algorithm Supports",include,"Added MixGRPO sliding-window SDE training for Qwen-Image","New algorithm recipe"
48,"[algo] feat: add GRPO-Guard support for Qwen-Image training",algo,Qwen-Image,GRPO-Guard,"Model & Algorithm Supports",include,"Added GRPO-Guard support for Qwen-Image","New stability-focused algorithm recipe"
126,"[recipe, doc] feat: add mixgrpo/grpoguard and full-weight flowgrpo fo...","recipe,doc",Qwen-Image,"MixGRPO, GRPO-Guard, FlowGRPO","Model & Algorithm Supports",include,"Added runnable MixGRPO, GRPO-Guard, and full-weight FlowGRPO recipes","Recipe-facing documentation and scripts"
132,"[1/N][trainer] feat: bagel flowgrpo integration",trainer,BAGEL,FlowGRPO,"Model & Algorithm Supports",merge-into-summary,"Added BAGEL FlowGRPO integration","Merged with follow-up integration PR"
137,"[2/N][trainer] feat: bagel flowgrpo integration",trainer,BAGEL,FlowGRPO,"Model & Algorithm Supports",include,"Completed BAGEL FlowGRPO integration","Unified understand-and-generate model coverage"
165,"[fsdp, rollout] feat: set FA3 default attention backend and add fallbacks","fsdp,rollout",,,"Architecture / Training",include,"Defaulted GPU actor attention toward FA3 with native/SDPA fallbacks","User-visible trainer performance and fallback behavior"
141,"[trainer] feat: add fa3 backend support for diffusers engine",trainer,,,"Architecture / Training",merge-into-summary,"Added FA3 support for diffusers training engine","Merged into FA3 backend summary"
59,"[trainer] feat: diffusers FSDP engine support sequence parallel",trainer,,,"Architecture / Training",include,"Added sequence parallel support to diffusers FSDP engine","Distributed trainer scalability"
104,"[trainer] feat: Support VeOmni as actor engine",trainer,,,"Architecture / Training",include,"Added optional VeOmni actor/reference engine backend","Selectable trainer backend"
93,"[diffusion, algo] feat: add rollout correction support (experimental)","diffusion,algo",,,"Architecture / Rollout Engine",include,"Added experimental rollout correction for diffusion RL","Rollout-side trajectory correction feature"
60,"[trainer, rollout] fix: deterministic per-step and per-rollout seeding","trainer,rollout",,,"Architecture / Training",include,"Improved deterministic per-step and per-rollout seeding","Training reproducibility"
136,"[trainer] fix: fix the rollout seed",trainer,,,"Architecture / Training",merge-into-summary,"Fixed rollout seed handling","Merged into deterministic behavior summary"
128,"[diffusion, perf, doc] feat: add MFU metric support for diffusion models","diffusion,perf,doc",,,"Architecture / Training",include,"Added diffusion MFU metrics","Benchmarking and performance comparison support"
166,"[vllm_omni] chore: upgrade vllm-omni to v0.22.0 and clean up legacy workarounds",vllm_omni,,,"Architecture / Rollout Engine",include,"Upgraded rollout stack to vLLM-Omni v0.22.0","Backend version alignment affects users"
156,"[rollout] feat: Optimize weight update for lora",rollout,,,"Architecture / Rollout Engine",include,"Optimized LoRA rollout weight updates","Faster actor-to-rollout synchronization"
81,"[rollout] fix: Enable step-wise batching conexecution",rollout,,,"Architecture / Rollout Engine",include,"Enabled step-wise rollout batching co-execution","Rollout throughput and stability improvement"
109,"[reward, cfg] feat: add multi-reward function support with weighted aggregation","reward,cfg",,,"Architecture / Reward",include,"Added multi-reward weighted aggregation","Reward loop architecture feature"
116,"[reward] feat: add HTTP reward service adapter for external scorer services",reward,,,"Architecture / Reward",include,"Added HTTP scorer adapter for external reward services","Reward serving integration"
155,"[doc] chore: support async reward explanation",doc,,,"Architecture / Reward",include,"Documented async reward overlap for reward-loop workers","Reward workflow documentation"
68,"[diffusion, worker] feat: support Ascend NPU for Qwen-Image FlowGRPO...",diffusion,Qwen-Image,FlowGRPO,"Hardware",include,"Added Ascend NPU support for Qwen-Image FlowGRPO","Hardware backend support"
85,"[recipe, ckpt] fix: align training config for NPU and fix OOM during ...","recipe,ckpt",Qwen-Image,FlowGRPO,"Hardware",merge-into-summary,"Aligned NPU training config and fixed OOM path","Merged into Ascend NPU coverage"
174,"[recipe,doc] feat: Add qwen image dpo npu example","recipe,doc",Qwen-Image,DPO,"Hardware",include,"Added Qwen-Image online DPO NPU example","NPU recipe coverage"
181,"[doc] fix: restore Ascend NPU installation steps in install guide",doc,,,"Hardware",include,"Restored Ascend NPU installation guidance","Hardware installation note"
167,"[misc] chore: simplify installation with pyproject.toml and uv extras",misc,,,"Documentation / Tooling",include,"Simplified install through pyproject extras and uv commands","Upgrade/install action users must see"
177,"[recipe] feat: Update docs and scripts for multi node training",recipe,,,"Documentation / Tooling",include,"Added multi-node training docs and scripts","Cluster adoption documentation"
194,"[recipe] chore: add 64 cards example",recipe,,,"Documentation / Tooling",include,"Added larger-card-count example coverage","Scalability recipe documentation"
195,"[docker] feat: add CUDA Dockerfile and install guide",docker,,,"Documentation / Tooling",include,"Added CUDA Dockerfile and install guide","User-facing environment setup"
45,"[ci] test: Add gpu smoke test to CI",ci,,,"Documentation / Tooling",include,"Added GPU smoke test coverage","Validation coverage"
80,"[tests] fix: cover e2e script with vllm reward",tests,,,"Documentation / Tooling",merge-into-summary,"Expanded e2e coverage with vLLM reward path","Merged into validation coverage summary"
150,"[tests] fix: fix cpu test random failure",tests,,,"Documentation / Tooling",ignore,"Fixed random CPU test failure","Low release-facing signal"
52,"[BREAKING][rollout] feat: adapt to verl LLMServerClient refactor",rollout,,,"Breaking Changes",include,"Adapted rollout integrations to upstream verl LLMServerClient refactor","Breaking marker present; migration wording needs maintainer verification"
